CompanyName,Website,LinkedIn,Sub Industry,Country,Employees
JOM,http://www.jom.pt/,http://www.linkedin.com/company/jom-lda,Furniture,Portugal,510
Jonathan Louis,http://www.jonathanlouis.com/,http://www.linkedin.com/company/jonathan-louis-furniture,Furniture,United States,280
Joybird,https://joybird.com/,https://www.linkedin.com/company/joybird/about/,Furniture,United States,200-500
Kane's Furniture,http://www.kanesfurniture.com/,http://www.linkedin.com/company/kane's-furniture,Furniture,United States,690
Kare Design GmbH,http://www.kare-design.com/,http://www.linkedin.com/company/kare-design-gmbh,Furniture,Germany,1‚-200
Kartell,http://www.kartell.com/,http://www.linkedin.com/company/kartell,Furniture,Italy,340
Kave Home,http://www.kavehome.com/,http://www.linkedin.com/company/kave-home,Furniture,Spain,690
Kees Smit Garden Furniture,http://www.keessmit.nl/,http://www.linkedin.com/company/kees-smit-tuinmeubelen,Furniture,Netherlands,240
Kellex Seating,http://www.kellex.com/,http://www.linkedin.com/company/kellex-seating,Furniture,United States,280
Kibuc,http://www.kibuc.com/,http://www.linkedin.com/company/kibuc,Furniture,Spain,210
kikaLeiner,http://www.leiner.at/,http://www.linkedin.com/company/leiner,Furniture,Austria,1‚-400
Kimball International,http://www.kimballinternational.com/,http://www.linkedin.com/company/kimball-international,HoldCo,United States,2‚-500
Kimbrell‚ÄôS Furniture,http://www.kimbrells.com/,http://www.linkedin.com/company/kimbrell%e2%80%99s-furniture,Furniture,United States,310
Kinnarps Group,http://www.kinnarps.com/,http://www.linkedin.com/company/kinnarps,HoldCo,Sweden,1‚-700
Kinnarps Sweden,http://www.kinnarps.se/,http://www.linkedin.com/company/kinnarpssverige,Furniture,Sweden,350
L. & J.G. Stickley,http://www.stickley.com/,http://www.linkedin.com/company/l-&-jg-stickley,Furniture,United States,240
La-Z-Boy Furniture Galleries,http://www.lazboy.com/,http://www.linkedin.com/company/la-z-boy-furniture-galleries,Furniture,United States,970
La-Z-Boy Incorporated,http://www.la-z-boy.com/,http://www.linkedin.com/company/la-z-boy,Furniture,United States,11‚-000
Lago S.P.A.,http://www.lago.it/,http://www.linkedin.com/company/lago-s.p.a.,Furniture,Italy,230
Lammhults Design Group AB,http://www.lammhultsdesigngroup.com/,http://www.linkedin.com/company/lammhults-design-group-ab,HoldCo,Sweden,200-500
Lazzoni,http://www.lazzoni.com/,http://www.linkedin.com/company/lazzoniofficial,Furniture,United States,270
Le Roi du Matelas,http://www.leroidumatelas.fr/,http://www.linkedin.com/company/le-roi-du-matelas,Furniture,France,250
Leen Bakker,http://www.leenbakker.nl/,http://www.linkedin.com/company/leen-bakker,Furniture,Netherlands,1‚-100
Leggett & Platt,http://www.leggett.com/,http://www.linkedin.com/company/leggett-&-platt,HoldCo,United States,18‚-000
Levin Furniture & Mattress,http://www.levinfurniture.com/,http://www.linkedin.com/company/levinfurnitureandmattress,Furniture,United States,510
Ligne Roset,http://www.ligne-roset.com/,http://www.linkedin.com/company/ligne-roset,Furniture,France,1‚-000
Limitless Digital Group,http://www.limitlessdigital.com/,http://www.linkedin.com/company/limitless-digital-group-limited,HoldCo,United Kingdom,260
Lipo Einrichtungsm√£¬§Rkte AG,https://lipo.ch/,https://www.linkedin.com/company/lipo-einrichtungsm%C3%A4rkte-ag,Furniture,Switzerland,
Living Spaces Furniture,http://www.livingspaces.com/,http://www.linkedin.com/company/living-spaces-furniture,Furniture,United States,2‚-800
Lmc,http://www.lmcstore.com/,http://www.linkedin.com/company/lmcgroup,Furniture,France,620
Lovesac,http://www.lovesac.com/,http://www.linkedin.com/company/lovesac,Furniture,United States,920
Lpp S.A.,http://www.linkedin.com/company/lpp-sa,https://www.facebook.com/DiscoverLPP/,HoldCo,Poland,23‚-000
Lupo,http://www.lupobarcelona.com/,http://www.linkedin.com/company/lupo-barcelona,Furniture,Spain,310
Luxury Living Group,http://www.luxurylivinggroup.com/,http://www.linkedin.com/company/luxurylivinggroup,HoldCo,Italy,260
M√∂bel Pfister AG,http://www.pfister.ch/,http://www.linkedin.com/company/m%c3%b6bel-pfister-ag,Furniture,Switzerland,540
M√∏belringen,http://www.mobelringen.no/,http://www.linkedin.com/company/mobelringen-as,Furniture,Norway,510
MADE.COM,http://www.made.com/,http://www.linkedin.com/company/made-com,Furniture,United Kingdom,720
